epid,fieldnumber,produce,groupname,Field size for selected field for trial (acre),Total Farm size (acre),Unfertilised grain yield kgs/acre Min,Unfertilised grain yield kgs/acre Avg,Unfertilised grain yield kgs/acre Max,Fertilized grain yield(kgs/acre) Min,Fertilized grain yield(kgs/acre) Avg,Fertilized grain yield(kgs/acre) Max,What is the highest maize grain yield in kgs_acre you have seen ,inspectiondate,Primary land preparation+O:AG method used,"If other, please specify",Any secondary land preparation done,Has soil sampling been done on this plot,1st Weeding Grow Stage,1st Weed Num plants harvest,1st Weed ground cover score,1st Weed Pest 1st sympton,Percentage 1st Weed 1st Pest symption,1st Weed Pest 2nd Sympton,Percentage 1st Weed 2nd Pest 2nd Sympton,1st Weed Pest 3rd Sympton,Percentage 1st Weed 3rd Pest Symtom,1st Weed Leaf discolour 1st Symtom,Percentage 1st Weed 1st Leaf discolour Symtom,1st Weed Leaf discolour 2nd Symtom,Percentage 1st Weed 2nd Leaf discolour Symtom,1st Weed Leaf discolour3rd Symtom,Percentage 1st Weed 3rd Leaf discolour Symtom,2nd Weeding date,2nd Weeding Growth Stage,2nd Weeding Weed ground cover score,2nd Weed Pest 1st Sympton,Percentage 2nd Weed Pest 1st Sympton,2nd Weed Pest 2nd Sympton,Percentage 2nd Weed Pest 2nd Sympton,2nd Weed Pest 3rd Sympton,Percentage 2nd Weed Pest 3rd Sympton,2nd Weed leaf discolour 1st Sympton,Percentage 2nd Weed Leaf discolouring 1st Sympton,2nd Weed leaf discolour 2nd Sympton,Percentage 2nd Weed Leaf discolouring 2nd Sympton,2nd Weed leaf discolour 3rd Sympton,Percentage 2nd Weed Leaf discolouring 3rd Sympton,2nd Weeding other problem,1st Top Dressing Date,1st Top Growth Stage,1st Top Weed ground cover score,1st Top Pest 1st Symptom,Percentage 1st Top Pest 1st Symptom,1st Top Pest 2nd Symptom,Percentage 1st Top Pest 2nd Symptom,1st Top Pest 3rd Symptom,Percentage 1st Top Pest 3rd Symptom,1st Top Leaf discoloruing 1st Symptom,Percentage of 1st Top Leaf discoloruing 1st Symptom,1st Top Leaf discoloruing 2nd Symptom,Percentage of 1st Top Leaf discoloruing 2nd Symptom,1st Top Leaf discoloruing 3rd Symptom,Percentage of 1st Top Leaf discoloruing 3rd Symptom,1st Top problems,1st Top any deviaton from protocol,2nd Top  Dressing Date,2nd Top Dressing Growth Stage,Compare leaf colour with leaf colour chart Record leaf colour,Has second top dressing been applied,Note any deviation from top-dressing protocol,2nd Top Pest 1st Symptom,Percentage 2nd Top Pest 1st Symptom,2nd Top Pestnd Symptom,2nd Top Pest 2nd Symptom,2nd Top Pest 3rd Symptom,Percentage 2nd Top Pest 3rd Symptom,2nd Top Leave discolouring 1st Symptom,Percentage 2nd Top Leave discolouring 1st Symptom,2nd Top Leave discolouring 2nd Symptom,Percentage 2nd Top Leave discolouring 2nd Symptom,2nd Top Leave discolouring 3rd Symptom,Percentage 2nd Top Leave discolouring 3rd Symptom,2nd Top Dressing Other Problems
IS002,IS002 RT-R,Maize,Northern 1,,,,,,,,,,,,,,,V3,25,0-20%,yes,0.02,no,No,No,No,No,No,No,No,No,No,31-Aug-20,V9,21-40%,No,,No,No,No,No,No,No,No,No,No,No,No,31-Aug-20,V10,0-20%,No,No,No,No,No,No,No,No,No,No,No,No,No,No,13-Sep-20,VT,4,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,No
IS002,IS002 NT-PK,Maize,Northern 1,,,,,,,,,,,,,,,V3,34,0-20%,yes,0.02,no,No,No,No,No,No,No,No,No,No,31-Aug-20,V9,0-20%,No,,No,No,No,No,No,No,No,No,No,No,No,31-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,0.8,No,No,No,No,Basal leaves are yellowish and some are dying,No,13-Sep-20,VT,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,60% of the plants are yellowish lower than the color chart for comarism
IS002,IS002 NT-PK,Maize,Northern 1,,,,,,,,,,,,,,,V3,34,0-20%,yes,0.02,no,No,No,No,No,No,No,No,No,No,31-Aug-20,V8,0-20%,No,,No,No,No,No,Yes,0.25,No,No,No,No,Basal leaves yellowish and some are even dying,31-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,0.8,No,No,No,No,Basal leaves are yellowish and some are dying,No,13-Sep-20,VT,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,60% of the plants are yellowish lower than the color chart for comarism
IS002,IS002 NT-NK,Maize,Northern 1,,,,,,,,,,,,,,,V3,30,0-20%,yes,0.01,no,No,No,No,No,No,No,No,No,No,31-Aug-20,V7,0-20%,No,,No,No,No,No,Yes,0.35,No,No,No,No,Growth difference between plants and other plots. Suspect nutrient leaching as plot is depressed,31-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,0.35,No,No,No,No,Growth difference between plants and other plots and I suspected that nutrient leaching as plot depr,No,13-Sep-20,VT,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,3 rows in the middle of the plot plants are stunted growth and the lower leafs are drying up
IS002,IS002 NT-NP,Maize,Northern 1,,,,,,,,,,,,,,,V3,35,0-20%,yes,0.01,no,No,No,No,No,No,No,No,No,No,31-Aug-20,V9,0-20%,No,,No,No,No,No,Yes,0.45,no,No,No,No,Growth difference between plants and other plots. Suspect nutrient leaching,31-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,0.45,No,No,No,No,Growth difference between plants and other plots. Suspect that nutrient leaching,No,,,,,,,,,,,,,,,,,,
IS002,IS002 NT-NPK,Maize,Northern 1,,,,,,,,,,,,,,,V3,36,0-20%,yes,0.02,yes,0.02,no,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,31-Aug-20,V9,0-20%,No,No,No,No,No,No,No,No,No,No,No,No,No,No,13-Sep-20,VT,4,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,No problem
IS003,IS003,Farm,Northern 2,1,124,,200,,300,1100,1500,1200,18-Jul-20,Tractor Plough,,Tractor harrow,YES,V7,43,21-40%,Yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,06-Sep-20,V7,0-20%,Yes,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS003,IS003 RT-F,Maize,Northern 2,,,,,,,,,,,,,,,V7,34,21-40%,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,06-Sep-20,V7,21-40%,Yes FAW,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS003,IS003 RT-R,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Tractor harrow,YES,V7,36,21-40%,Yes FAW,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS003,IS003 RT-R,Maize,Northern 2,,,,,,,,,,24-Aug-20,Tractor Plough,,Hand harrow,YES,V7,36,21-40%,Yes FAW,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS003,IS003 NT-PK,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Tractor harrow,YES,V7,36,21-40%,Yes FAW,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS003,IS003 NT-NK,Maize,Northern 2,,,,,,,,,,,,,,,V7,38,21-40%,FAW,2,,,,,,,,,,,,,,,,,,,,,,,,,,,06-Sep-20,V7,0-20%,Yes FAW,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS003,IS003 NT-NP,Maize,Northern 2,,,,,,,,,,,,,,,V7,33,21-40%,Faw,2,,,,,,,,,,,,,,,,,,,,,,,,,,,06-Sep-20,V7,0-20%,FAW,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS003,IS003 NT-NPK,Maize,Northern 2,,,,,,,,,,,,,,,V7,37,21-40%,Yes FAW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,06-Sep-20,V7,0-20%,FAW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS004,IS004,Farm,Northern 2,1,50,,350,,100,300,500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-Sep-20,V7,0-20%,Yes FAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS004,IS004 RT-F,Maize,Northern 2,,,,,,,,,,,,,,,V7,38,21-40%,FAW,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS004,IS004 RT-R,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Tractor harrow,YES,V7,36,21-40%,Yes FAW,10,,,,,,,,,,,,,,,,,,,,,,,,,,,07-Sep-20,V7,0-20%,Yes FAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS004,IS004 NT-PK,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Tractor harrowed,YES,V7,35,21-40%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS004,IS004 NT-NK,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Tractor harrowef,YES,V7,32,21-40%,FAW,10,,,,,,,,,,,,,,,,,,,,,,,,,,,07-Sep-20,V7,0-20%,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS004,IS004 NT-NP,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Tractor harrowef,YES,V7,38,21-40%,FAW,10,,,,,,,,,,,,,,,,,,,,,,,,,,,07-Sep-20,V8,0-20%,Yes FAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS004,IS004 NT-NPK,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Tractor harrow,YES,V7,38,21-40%,Yes presence of FUSS,10,FAW,,,,,,,,,,,,,,,,,,,,,,,,,,07-Sep-20,V9,0-20%,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005,Farm,Northern 2,1,8,,300,,350,500,750,300,,,,,,V4,37,0-20%,No,,,,,,,,,,,,08-Sep-20,V9,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 RT-F,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,,,,,,,,,,,,,,,,08-Sep-20,V10,0-20%,No,,,,,,,,,,,,,08-Sep-20,V9,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 RT-F,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,,,,,,,,,,,,,,,,08-Sep-20,V10,0-20%,No,,,,,,,,,,,,,08-Sep-20,V9,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 RT-R,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,V4,37,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-Sep-20,V9,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 RT-R,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,V4,37,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-Sep-20,V9,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 RT-R,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,Hand level,,YES,V4,37,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-Sep-20,V9,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 RT-R,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,V4,37,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-Sep-20,V9,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 RT-R,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,V4,37,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-Sep-20,V9,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 NT-PK,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,V4,41,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 NT-PK,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,V4,41,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 NT-NK,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,,,,,,,,,,,,,,,,08-Sep-20,V9,0-20%,No,,,,,,,,,,,,,08-Sep-20,V10,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 NT-NK,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,,,,,,,,,,,,,,,,08-Sep-20,V9,0-20%,No,,,,,,,,,,,,,08-Sep-20,V10,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 NT-NP,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 NT-NP,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 NT-NPK,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,V4,38,0-20%,Yes,,,,,,,,,,,,08-Sep-20,V10,0-20%,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS005,IS005 NT-NPK,Maize,Northern 2,,,,,,,,,,18-Jul-20,Tractor Plough,,Hand levelling,YES,V4,38,0-20%,Yes,,,,,,,,,,,,08-Sep-20,V10,0-20%,Yes,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS006,IS006,Farm,Northern 2,1,25,,300,,350,700,1200,1500,,,,,,V7,39,21-40%,No,,,,,,,,,,,,07-Sep-20,V9,21-40%,No,,,,,,,,,,,,,07-Sep-20,V9,21-40%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS006,IS006 RT-F,Maize,Northern 2,,,,,,,,,,24-Jul-20,Tractor Plough,,Tractor harrow,YES,V7,44,21-40%,No,,,,,,,,,,,,07-Sep-20,V10,0-20%,No,,,,,,,,,,,,,07-Sep-20,V10,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS006,IS006 RT-R,Maize,Northern 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS006,IS006 NT-PK,Maize,Northern 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-Sep-20,V10,21-40%,Yes FAW,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS006,IS006 NT-NK,Maize,Northern 2,,,,,,,,,,,,,,,V7,37,21-40%,No,,,,,,,,,,,,07-Sep-20,V8,0-20%,No,,,,,,,,,,,,,07-Sep-20,V10,21-40%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS006,IS006 NT-NP,Maize,Northern 2,,,,,,,,,,,,,,,V10,42,0-20%,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS006,IS006 NT-NPK,Maize,Northern 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-Sep-20,V10,0-20%,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IS007,IS007,Farm,Northern 1,1,25,,200,,300,400,600,1200,,,,,,V3,35,0-20%,Yes,0.05,no,,No,No,No,No,No,No,No,No,29-Aug-20,V8,41-60%,No,,No,No,No,No,No,No,No,No,No,No,Growth difference due land levelling,30-Aug-20,V8,0-20%,No,No,No,No,No,No,No,No,No,No,No,No,Growth difference between plants due land levelling,No,12-Sep-20,VT,3,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,Water stay in the field for 3 days due to much rain
IS007,IS007 RT-F,Maize,Northern 1,,,,,,,,,,,,,,,V3,36,0-20%,no,No,Yes,0.1,no,No,No,No,No,No,No,No,29-Aug-20,V10,0-20%,Yes,0.1,Yes,0.1,No,No,No,No,No,No,No,No,"Fall army worm infection, 3 rows affected more",30-Aug-20,V10,0-20%,Yes,0.05,No,No,No,No,No,No,No,No,No,No,Fall army worm leaf periferations and growth difference between plants,,12-Sep-20,VT,4,NO,No,Yes,0.05,No,,No,No,No,No,No,No,No,No,Too much rain and few plants attack by fall army worm
IS007,IS007 RT-R,Maize,Northern 1,,,,,,,,,,,,,,,V3,36,0-20%,No,,Yes,0.05,leaf periferations,0.05,,,,,,,29-Aug-20,V10,21-40%,Yes,0.02,No,No,No,No,No,No,Yes,0.4,Yes,0.4,The nasal leaves are yellowish and fee plants are attack by FAW,30-Aug-20,V10,0-20%,No,No,No,No,No,No,No,No,No,No,No,No,Growth difference between plants due to land levelling,No,12-Sep-20,VT,3,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, water stay in the field for 2 days"
IS007,IS007 NT-PK,Maize,Northern 1,,,,,,,,,,,,,,,V3,34,0-20%,yes,0.1,0.1,no,,No,No,No,No,No,No,No,29-Aug-20,V7,0-20%,No,,No,Zero,No,No,Yes,1,Yes,1,No,No,"No fall army worm leaf periferations, however all the lower leafs of the plants are yellowish",30-Aug-20,V9,0-20%,No,No,No,No,No,No,Yes,1,No,No,No,No,Yes all the basal leaves are yellowish and growth difference between plants due to land levelling,No,12-Sep-20,VT,2,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,Too much rain and water stay on the field for 2 days. It leaves are yellowish more than number 2
IS007,IS007 NT-NK,Maize,Northern 1,,,,,,,,,,,,,,,V3,36,0-20%,yes,0.05,no,No,No,No,No,No,No,No,No,No,29-Aug-20,V7,21-40%,Yed,0.03,Yes,0.03,No,No,Yes,0.03,no,No,No,No,Fall army worm leaf periferations and part of the field growth from the other part which is levellin,30-Aug-20,V9,0-20%,No,No,No,No,No,No,No,No,No,No,No,No,Plants growth difference due to land levelling,No,12-Sep-20,VT,3,NO,No,No,No,No,No,No,No,No,No,No,No,No,No,Too much rain and it leads to water log and water stay in the field for 2days
